osmid,commutes
"[16220217, 16216002, 16233612]",13
"[16220233, 16225769]",314
"[16220376, 16236741]",68
"[16220387, 16228149]",61
"[16220729, 16243116]",2
"[16220920, 16237068]",123
"[16220922, 16220445]",3
"[16221148, 16215695]",23
"[16221251, 16231164]",16
"[16221257, 16222635]",56
"[16221449, 16224654]",60
"[16221449, 16229391]",26
"[16221465, 16219863]",51
"[16221465, 16228861]",23
"[16221609, 16221605]",252
"[16221614, 16225743]",67
"[16221628, 547674357]",1371
"[16221744, 616180898, 616180899]",278
"[16221754, 736446799]",270
"[16221913, 524877835, 565822484]",244
"[16221938, 16242751]",33
"[16221993, 16242436, 16213301]",69
"[16222075, 16228228]",8
"[16222171, 337129190]",34
"[16222254, 16239054]",34
"[16222288, 16233924]",94
"[16222468, 16219613]",3
"[16222484, 16222517]",87
"[16222701, 16242414]",43
"[16222777, 16213674]",426
"[16222791, 16231991]",395
"[16222872, 16236018, 16225959]",10
"[16222942, 16229894]",25
"[16223012, 16228660]",93
"[16223104, 253543658]",11
"[16223284, 16215623]",34
"[16223488, 16215860]",65
"[16223514, 16239078]",2
"[16223540, 16232013]",20
"[16223600, 16222341]",71
"[16223841, 16239374, 16239375]",21
"[16223930, 16229866]",49
"[16224001, 829904952, 829904953, 829904954, 829904955]",1060
"[16224065, 467532838]",3
"[16224077, 630831549]",11
"[16224080, 826930693]",7709
"[16224217, 170116818, 170116820]",6067
"[16224220, 16242598]",6
"[16224244, 16215351]",35
"[16224248, 683824458, 683824459]",174
"[16224322, 240555650]",3
"[16224335, 16236783]",311
"[16224370, 16224983]",500
"[16224449, 527859572]",345
"[16224464, 24714398]",1370
"[16224489, 16220156]",32
"[16224494, 16225519]",39
"[16224530, 16228098]",2
"[16224661, 16236590]",46
"[16224668, 16225820]",10
"[16224673, 16229826]",9
"[16224673, 528177674]",15
"[16224682, 331766995, 540363814]",8
"[16224849, 533352435]",38
"[16224882, 16224261]",33
"[16224893, 16232431]",10
"[16224896, 16218171]",88
"[16224900, 16223252]",3
"[16224908, 16216414]",2
"[16224921, 465478905]",4
"[16224948, 16218198]",130
"[16224948, 16234783]",111
"[16224956, 16234141]",21
"[16225026, 16238084]",28
"[16225092, 16236301]",73
"[16225101, 16238534]",1
"[16225124, 466942292]",413
"[16225184, 16215913]",1
"[16225202, 737491907]",5
"[16225209, 16237597]",26
"[16225299, 531621011]",101
"[16225329, 16240140]",95
"[16225339, 566920750]",439
"[16225344, 16213142]",6
"[16225344, 16219266]",76
"[16225404, 16238719]",98
"[16225409, 16233594]",50
"[16225412, 16224044, 16228749]",33
"[16225440, 348724769, 348724767]",4142
"[16225492, 16226357]",100
"[16225529, 16234653]",6
"[16225534, 16243487]",27
"[16225536, 16242681]",41
"[16225556, 338251415]",63
"[16225570, 16239682]",100
"[16225595, 16233535]",217
"[16225632, 16231641, 16242722]",10
"[16225681, 16227854]",1675
"[16225688, 16233661]",4
"[16225768, 16226475]",79
"[16225801, 16235415]",3
"[16225826, 16219668]",1
"[16225826, 16239645]",1
"[16225831, 816531551]",4
"[16225842, 491950999]",1377
"[16225921, 16224493]",31
"[16225938, 16234532]",66
"[16225952, 16213545]",5
"[16226041, 16225956]",828
"[16226056, 763528669]",81
"[16226101, 830322181, 830322182]",12
"[16226116, 16214559]",3
"[16226117, 16231399]",269
"[16226265, 16236639]",6
"[16226266, 16228946]",63
"[16226401, 331325729]",16
"[16226460, 331324527]",17
"[16226466, 16215212]",4
"[16226471, 16229903]",50
"[16226481, 16214410]",38
"[16226482, 16227594, 16227595]",53
"[16226548, 16226551]",9
"[16226612, 16226613]",80
"[16226617, 16231628]",1272
"[16226624, 804095741, 338251413]",457
"[16226630, 16223951]",172
"[16226637, 16238373]",97
"[16226642, 567052587]",182
"[16226647, 16214823]",26
"[16226651, 16228684]",9
"[16226711, 593768087]",1
"[16226752, 16240123]",88
"[16226875, 16236181]",3
"[16227002, 16238910]",11
"[16227019, 16226495]",34
"[16227019, 16236118]",35
"[16227041, 16238866]",25
"[16227057, 16221317]",21
"[16227074, 16238751]",54
"[16227090, 16215950]",44
"[16227091, 16230342]",53
"[16227154, 16238691, 16229118]",6
"[16227225, 16239110]",4
"[16227245, 16227247]",7
"[16227299, 16218237]",11
"[16227305, 16216338]",75
"[16227309, 758884071]",7
"[16227320, 16235746]",45
"[16227332, 16228334]",24
"[16227346, 740676396]",1790
"[16227414, 16227422]",59
"[16227432, 16227884]",35
"[16227465, 16234783]",55
"[16227476, 95094661, 95094655]",3125
"[16227576, 16212466, 608341757]",11
"[16227576, 16224513]",31
"[16227584, 16227583]",74
"[16227616, 16226755]",241
"[16227635, 676608327]",1483
"[16227729, 16228109]",5
"[16227769, 16225031]",54
"[16227821, 16227878]",2523
"[16227828, 16228877]",327
"[16227832, 16222635]",22
"[16227835, 16228655]",24
"[16227838, 678165855]",92
"[16227845, 678165855]",147
"[16227904, 16225257]",5
"[16227909, 16222375]",15
"[16227929, 676795619]",621
"[16227945, 16231207]",12
"[16228018, 16237485]",294
"[16228019, 16237612]",6
"[16228045, 16220501]",26
"[16228152, 16224258]",68
"[16228174, 16238162, 16223382]",4
"[16228209, 16231142]",54
"[16228228, 16235623]",13
"[16228242, 16229335]",3401
"[16228250, 660066438]",14
"[16228266, 16237567]",127
"[16228274, 524929571]",46
"[16228363, 334069486]",182
"[16228373, 16226495]",8
"[16228373, 16236118]",8
"[16228442, 528709242]",593
"[16228512, 16215188]",387
"[16228552, 33252752, 33252742]",7834
"[16228552, 827550642]",7
"[16228562, 533555687]",42
"[16228565, 16228557]",10
"[16228608, 100760430, 100760433, 669236950, 759918105, 575676093, 530342815]",2149
"[16228628, 16228630]",383
"[16228664, 685258318, 685258319]",129
"[16228672, 16225814]",210
"[16228761, 524924220]",80
"[16228768, 357485919]",31
"[16228776, 16227926]",2
"[16228786, 525865543]",6478
"[16228866, 16226991]",10
"[16228906, 532177956]",71
"[16228947, 16235403]",23
"[16228951, 16218527]",2
"[16228997, 16232167]",64
"[16229001, 16234959]",88
"[16229028, 829386077, 829386076]",114
"[16229081, 16229453]",9
"[16229203, 16237011]",20
"[16229206, 334069486]",360
"[16229240, 16228023]",9
"[16229275, 16228063]",8
"[16229312, 16239235]",14
"[16229334, 670956318, 670956319]",44
"[16229386, 803336420]",59
"[16229493, 530490807]",3707
"[16229501, 16221934, 16235655]",41
"[16229510, 737240351]",1591
"[16229544, 16219633]",180
"[16229564, 16218231]",12
"[16229598, 16231142]",85
"[16229840, 16218652]",1
"[16229883, 16215590]",31
"[16229963, 16239717]",29
"[16230019, 695922294, 695922295]",126
"[16230025, 16239255]",246
"[16230028, 16225533]",128
"[16230339, 16219583]",334
"[16230354, 274850789, 274850790]",18
"[16230377, 16243733]",50
"[16230513, 16237922]",61
"[16230628, 16218854]",9
"[16230656, 16222372]",7
"[16230722, 16239308]",3
"[16230752, 553745063]",74
"[16230849, 16214581]",285
"[16230850, 16214581]",360
"[16230936, 16238334]",106
"[16230939, 16215924]",7
"[16230949, 540441022]",3
"[16231074, 16219445, 16229533]",1182
"[16231090, 16215229]",6
"[16231113, 16215655]",2
"[16231152, 608507850]",21
"[16231161, 465747739]",27
"[16231176, 724570263]",17
"[16231233, 16219892]",367
"[16231243, 16225254]",73
"[16231344, 16226487]",61
"[16231371, 16237415]",54
"[16231475, 16234014]",7
"[16231490, 16229691]",13
"[16231499, 16227299]",56
"[16231520, 16229358]",479
"[16231522, 16222932, 16228165]",42
"[16231528, 16225878]",6
"[16231770, 16230067]",23
"[16231770, 16241197]",19
"[16231826, 16226300]",11
"[16231844, 235966263]",32
"[16231856, 16234854]",7
"[16231868, 16233501]",3
"[16231868, 16236350]",26
"[16231889, 524073586]",100
"[16231954, 293972149]",32
"[16231986, 16239892]",180
"[16232011, 16228155]",34
"[16232081, 16224301]",5
"[16232081, 16236090]",16
"[16232091, 16233637]",32
"[16232120, 531917051, 16232118]",8650
