osmid,commutes
"[523707290, 523707284, 539031741]",562
"[523708707, 523708709, 539031689, 737229867, 735255837]",891
"[523708708, 539031710]",1
"[523708709, 539031685]",1490
"[523710244, 539031550]",395
"[523710248, 565021953]",24
"[523710249, 16224997]",143
"[523719523, 539031637]",2238
"[523743753, 24039546, 24039548]",83
"[523982188, 523982190]",11473
"[523984064, 530325072]",2103
"[523999352, 823539394, 823539395, 823539396]",58
"[523999355, 823539398, 823539399]",106
"[523999356, 540643766]",29
"[523999360, 523999350, 540726578, 540726406]",160
"[524007664, 524007663]",845
"[524016035, 525910173]",400
"[524016040, 527757264]",838
"[524018411, 179110998]",379
"[524072552, 561516730, 561516731]",587
"[524073587, 570983766]",3
"[524076200, 570988220]",6
"[524080528, 524080529]",332
"[524080528, 570963692]",6
"[524080530, 669941334]",232
"[524080531, 570950949, 525565503]",166
"[524080531, 820337365, 820337366]",96
"[524087212, 120257604, 339266214, 564629503]",78
"[524090212, 524072552, 524072553, 561516333, 564625582]",668
"[524091171, 16227549]",95
"[524091172, 560748530, 560748526, 560746542]",1896
"[524631422, 547618644, 547689230]",45
"[524631424, 544810957, 544810662, 524631423]",2051
"[524631426, 547618132, 703280607]",88
"[524635376, 524635380]",2386
"[524635378, 547211851, 547211847]",3045
"[524642384, 544806344]",4401
"[524651096, 49421778, 49421772]",13632
"[524652264, 274895287]",4665
"[524654657, 547691317, 547689998]",1374
"[524654658, 544811131]",1731
"[524654658, 547211854]",1949
"[524861403, 570886357]",160
"[524887881, 524929575, 547103431]",36
"[524915563, 547104510]",73
"[524915564, 681532989, 681532983]",413
"[524918363, 16242140, 524918365]",1039
"[524920650, 703361526]",924
"[524926672, 544711254]",165
"[524929570, 104366380, 288944022, 288944023, 104366398]",1336
"[525552885, 567033653, 525552886, 736433400, 736433401]",1025
"[525552887, 567034623]",681
"[525553416, 567046782]",62
"[525555828, 567075557]",58
"[525555832, 567071996]",424
"[525562501, 569257195, 735497644, 735497643, 569257245]",609
"[525573832, 525556651, 567082156]",732
"[525574931, 567034150]",1132
"[525627589, 525627591]",2076
"[525628826, 51133149]",1621
"[525636752, 522511158]",1650
"[525825455, 540430303]",44
"[525825464, 540429673, 540429580, 540364630]",142
"[525825465, 540364711]",66
"[525825466, 540383046]",16
"[525825467, 16229407]",8
"[525868537, 51463330]",21
"[525868537, 540399565]",19
"[525871008, 525870090]",390
"[525872689, 337615102]",4
"[525874080, 274977665]",1587
"[525874082, 530490814, 530490951]",3534
"[525874083, 530493741]",53
"[525875585, 530492186]",2119
"[525875979, 53435331]",1272
"[525879808, 530493747]",904
"[525879813, 530493742]",251
"[526076676, 33252717, 69545581, 33252719, 526064436]",3452
"[526076677, 33252841, 33252753, 526064437, 525629085]",37731
"[526081714, 16215285]",161
"[526174088, 16225294]",64
"[526438701, 16221431]",31
"[526443764, 526441677]",22
"[526443764, 528054422, 528054423]",4
"[526444382, 528054422]",14
"[526445390, 526444382]",41
"[526448203, 528047317]",51
"[526448203, 665348154, 528049339]",10
"[526449958, 665348153, 528045382]",330
"[526706329, 526703138, 109642713, 665348126]",943
"[526731081, 527860108]",154
"[526731081, 527861218, 526729079]",138
"[526733737, 526733739, 527860108]",287
"[526733739, 41785215]",276
"[526741059, 139630733, 360973726, 665348087]",93
"[526775713, 372560964]",144
"[526779144, 526782777, 527859109]",695
"[526782777, 527859110]",998
"[526784155, 527859108, 331325135]",937
"[527442364, 526789127]",21
"[527466915, 527858270, 527858275]",320
"[527474374, 527477136, 527858101, 527858103, 527479934]",336
"[527479934, 527858102]",186
"[527487176, 527484954, 527858100, 527858102]",254
"[527487176, 527858099]",188
"[527508537, 527857674, 527507117]",149
"[527508537, 827221483, 222587710]",227
"[527536977, 522040134]",578
"[527757264, 524078730]",1301
"[527808330, 52118965]",3489
"[527813428, 527815381]",665
"[527817465, 527815381]",2928
"[527822593, 527826073, 522060941]",1205
"[527825840, 522060938]",1537
"[527836048, 528460451]",367
"[527837601, 522414527]",730
"[527837601, 527854828]",343
"[527856792, 522114257]",976
"[527858099, 527489803, 527857677]",112
"[527858270, 527463702]",25
"[527858272, 527470049, 527858275, 527858103]",467
"[527858848, 337293129, 718283829, 315219031, 315219032, 669243997]",620
"[527858849, 527444674]",2
"[527858849, 527463702]",1
"[527858850, 331325133]",6
"[527859108, 527859110]",962
"[527859377, 526776719]",581
"[527859377, 527859109]",423
"[527861216, 665348100, 665348101, 665348090, 526721407]",4901
"[527861217, 527861218, 526726002]",633
"[527861220, 527861221, 526715142, 665348109, 665348115]",3725
"[527862017, 665348130, 527862019, 109642484]",805
"[527862019, 526499238, 665348135, 526461681, 527863287]",698
"[527863288, 526458251]",17
"[527863288, 665348148]",32
"[528049894, 526445386, 665348156, 528050907, 528050588]",55
"[528069489, 528069484]",453
"[528070120, 528069489]",285
"[528138849, 528175815]",2169
"[528138850, 16232069]",32
"[528181355, 528183171, 528657871]",3370
"[528184490, 528183171]",3265
"[528184490, 528189079]",2360
"[528336763, 528336764, 528336765, 528656262]",330
"[528336765, 528656271]",348
"[528340600, 528340602, 528656252]",53
"[528340601, 528656271]",461
"[528388706, 331326836]",185
"[528388914, 528388707, 331326836, 528653599]",111
"[528397001, 528396997]",9
"[528397009, 528397223]",2126
"[528397900, 528397901, 528652948, 666117462, 367037017]",3268
"[528404083, 528404094]",16
"[528404094, 528652327]",18
"[528404153, 528410230]",32
"[528410227, 665348084, 665348085, 665348086]",4720
"[528410230, 109642686]",1727
"[528415352, 528440713]",15
"[528415352, 528647810]",48
"[528440707, 16215820]",102
"[528440713, 528440707]",84
"[528647810, 528415348]",48
"[528648612, 528410229, 528410231]",485
"[528652947, 666117460, 367037015]",704
"[528653145, 528397018, 16225249]",185
"[528653600, 528388914]",66
"[528653600, 528397001]",28
"[528653696, 528344218, 528344219, 528665607]",36
"[528653696, 528656276]",13
"[528653697, 528347079]",513
"[528653697, 528388705, 528388706]",39
"[528656257, 528327125, 528656285]",298
"[528656257, 528656267, 528194550]",1043
"[528656276, 528340602, 528344220]",5
"[528656281, 528656252]",136
"[528656285, 528327126]",288
"[528656834, 528656267]",1393
"[528658426, 528657870, 528177678]",6567
"[528664010, 528664011, 528665610]",98
"[528665610, 16215462]",1094
"[528709238, 528709239]",541
"[528709240, 528340601]",110
"[528709241, 528663658]",777
"[529242384, 827221485, 522040133]",44
"[529246785, 529971811]",998
"[529253512, 524008363, 16237295]",1336
"[529889763, 52122381]",3115
"[529891252, 16224014]",1652
"[529941048, 531924947, 522041647]",2415
"[529971811, 529249204]",441
"[530010816, 530010817, 530344324, 530344458, 16225652, 739487513, 16242297, 739487514, 530010814]",22
"[530010816, 530343742]",22
"[530081216, 530343473, 530081211]",36
"[530081803, 287301839]",1342
"[530081803, 530343148, 522110814]",1288
"[530082312, 276815716]",69
"[530194330, 668602621]",2461
"[530206722, 101004198, 530342185, 530210002, 522110811]",768
"[530219980, 530219981]",270
"[530225730, 524005789]",252
"[530225730, 530225974]",416
"[530226197, 530225974]",442
"[530226501, 530226197, 530289550]",418
"[530289612, 530289709, 530289799]",257
"[530311376, 522114265]",1497
"[530312552, 522041649]",1578
"[530315091, 437419796]",2725
"[530323442, 522110818]",1374
"[530332753, 530331284, 530332493]",18
"[530332753, 530335459]",236
"[530335620, 522110813]",561
"[530335620, 655347854]",701
"[530338025, 522110813]",103
"[530338747, 16239982]",272
"[530341714, 530341005]",173
"[530341714, 530341871]",125
"[530342816, 530082306, 109642378]",26
"[530343586, 530080740, 530343686]",21
"[530343586, 530081211]",25
"[530343687, 530343742, 530011087]",25
"[530344458, 530010815]",26
"[530344891, 530010815]",31
"[530466192, 530491666]",411
"[530489137, 16218325]",52
"[530490489, 530493741]",1911
"[530490810, 525872684]",2445
"[530490955, 530490951]",2904
"[530491664, 279899404]",2729
"[530491664, 530491665]",575
"[530491665, 530491662]",487
"[530491667, 525874084]",1075
"[530492184, 525875586]",36
"[530492184, 530491832]",44
"[530493744, 530493746]",2426
"[530493744, 530493747]",959
"[530493745, 16215450, 530493748]",1979
"[530493746, 530493743]",2443
"[531186515, 820529997, 820529998]",571
"[531186670, 531189895]",286
"[531187131, 531189893, 531189894]",172
"[531189894, 531189895]",12
"[531196778, 531453491, 531453262]",51
"[531196779, 531453491]",72
"[531199424, 531196904, 531452868]",24
"[531199424, 531452634]",191
"[531199425, 531452634, 531451759]",270
"[531228268, 531451759]",252
"[531228680, 531228683, 331767147]",452
"[531228683, 531228268]",262
"[531235153, 531235154, 823170270]",43
"[531246020, 523665260, 531248870]",5
"[531254273, 531248870]",1
"[531268604, 523666318]",23
"[531271612, 531268604, 531271799]",22
"[531271865, 16242998]",3
"[531272897, 531438557, 531398055]",18
"[531398054, 531438231]",26
"[531398072, 331767401]",14
"[531400547, 531400581]",5
"[531400770, 531400581]",4
"[531402788, 531402951]",1
"[531405257, 331766447]",33
"[531405257, 531405253]",20
"[531408640, 41785935]",30
"[531436052, 331766453]",5
"[531438351, 531398054, 531398055]",20
"[531438721, 331767402, 531272897]",7
"[531442561, 531260282, 523665253, 531264406]",5
"[531444533, 531444405]",1
"[531447650, 531450259, 827070516, 827070517]",67
"[531447650, 533357324, 518533263]",57
"[531450712, 823170266, 531450812]",11
"[531450977, 531229873, 823170259, 823170260, 16229109]",68
"[531451074, 823170258]",81
"[531452868, 531453262]",49
"[531453538, 531189107, 531196780]",174
"[531453538, 531196779]",47
"[531456230, 531455807]",186
"[531464952, 531464956]",381
"[531465228, 16239886]",425
"[531465869, 42057470, 531464958]",6077
"[531616218, 531616149]",2422
"[531616304, 531616300, 533353968]",1247
"[531616304, 827070519]",9138
"[531616422, 533353654, 827070519]",187
"[531653979, 522060939]",37
"[531653979, 531653980]",8541
"[531689464, 531689530, 531464957]",1405
"[531689530, 531689630]",639
"[531693896, 531693064, 16238016]",518
"[531702140, 522142238, 827143519]",86
"[531702140, 531702141]",161
"[531702274, 483715988]",161
"[531898064, 522483354]",1442
"[531898064, 531898099]",1086
"[531914114, 522142221]",1981
"[531915172, 522142231]",951
"[531915465, 522110815]",595
"[531915465, 522142229]",393
"[531916169, 530331031]",189
"[531916169, 609097274]",940
"[531917931, 609097278]",869
"[531920154, 522142230]",5074
"[531920154, 531920186]",2599
"[531920186, 522142239]",1099
"[531921532, 334057317]",736
"[531924661, 16214590]",4355
"[531926804, 522040143]",762
"[531944022, 521552910]",2542
"[531967497, 109642673]",836
"[531967497, 531960405]",448
"[532144757, 532144319]",232
"[532144757, 532145127]",215
"[532145209, 532145127]",183
"[532145209, 532154877]",94
"[532155107, 532154877, 532155454]",106
"[532155664, 532155454]",105
"[532155858, 532155740]",81
"[532156035, 532156036, 656869583, 656869584, 532155858]",139
"[532156274, 16218955]",307
"[532156274, 532156035]",250
"[532177600, 517621821]",334
"[532177956, 532178149]",83
"[532178795, 523619283]",820
"[532179003, 532178795]",84
"[532179218, 532179003]",52
"[532179624, 532179866]",89
"[532180153, 532179866, 533541087]",134
"[532180153, 533541042, 532180519]",482
"[532180848, 532180519]",750
"[532186808, 532187573]",51
"[532186808, 533540595, 532181301]",819
"[532900028, 518194653, 827408854]",92
"[532900907, 827408844]",110
"[532901361, 533531057, 532900907, 827408845]",116
"[532901465, 827408850, 827408849, 532901566]",125
"[532901624, 827408853, 532901566]",61
"[532912144, 534202200, 827554895, 827408855]",130
"[532912274, 532912150]",107
"[532912274, 532912327]",6
"[532912366, 532912327]",2
"[532912366, 532912534]",112
"[532912534, 533528231]",111
"[532913372, 518526943]",59
"[532913372, 532913501]",35
"[532913501, 532913622]",55
"[532913622, 533527343]",99
"[532913831, 532913895]",47
"[532913831, 533527343]",109
"[532917416, 532913895, 532917910, 827408870]",93
"[532917905, 827408871, 537138991]",87
"[532918516, 532918116]",100
"[532919484, 16234487]",68
"[532919484, 532919309]",72
"[532919579, 792223891, 792223893, 792223895]",31
"[532919763, 792223909, 792223910, 792223911]",83
"[532940536, 518527977, 792223924]",40
"[532950823, 792223916, 792223917, 792223918, 792223919]",110
"[532952786, 532952931]",89
"[532952786, 533521441, 792223914, 792223915]",65
"[533114172, 533113974]",450
"[533114291, 533114172]",135
"[533114609, 533765814]",93
"[533154506, 533388693, 518533279]",27
"[533180181, 533369782]",47
"[533352433, 812691858, 51463340, 812691860]",101
"[533353654, 531620462]",101
"[533354112, 533354115]",565
"[533355203, 533355206]",4069
"[533355204, 533355206]",9355
"[533356065, 533356071]",426
"[533356968, 331768288]",118
"[533357136, 533357135]",22
"[533358610, 52121427, 533388134]",8
"[533358612, 533388230, 518533279]",32
"[533358613, 533388693]",29
"[533360240, 331324825]",1
"[533360242, 533360243, 533385679]",2
"[533360243, 531416572]",13
"[533360244, 533360245]",5
"[533361256, 533362094]",2
"[533361256, 533383337, 523669242]",44
"[533363336, 533363335]",10
"[533363336, 533363337]",27
"[533363585, 533363337]",1
"[533365129, 533363585]",4
"[533365129, 533380643]",7
"[533367128, 533367130]",5
"[533367128, 533367131, 533380029]",8
"[533367129, 533367130]",13
"[533367129, 533367306]",15
"[533367131, 827070518]",19
"[533367304, 533367305]",40
"[533369357, 533369358]",35
"[533372272, 533367305, 521546802]",15
"[533385920, 533360241, 533360242]",3
"[533388134, 533358611, 533388230]",21
"[533394976, 534201517, 533395662, 533521070, 16228080, 341845810, 341845811]",431
"[533521128, 798250782]",660
"[533521441, 532952739]",44
"[533525692, 792223910]",12
"[533538389, 532900662]",383
"[533538546, 533538389, 533538606]",418
"[533541490, 532178149]",105
"[533541490, 532178597, 532178282]",13
"[533543496, 531967496, 531967498, 532144213]",791
"[533549922, 16243243]",1444
"[533550005, 533550358]",1131
"[533550510, 521552447]",286
"[537138960, 827408868]",356
"[537138961, 537138962, 521550655]",314
"[537138963, 537138965]",85
"[537138964, 537138965]",122
"[537138972, 537138973]",121
"[537138974, 537138975]",43
"[537138976, 518526939]",126
"[537138977, 537138978, 16225131]",474
"[537138979, 16225131]",482
"[537138984, 537138982, 537138983]",101
"[537138985, 537138986]",29
"[537732424, 537138979, 537138980]",194
"[537732425, 537732426]",715
"[537732426, 537732427]",444
"[538994601, 539031771, 539031772, 539031773]",458
"[539029956, 539031775]",423
"[539029957, 539029956, 523699037]",170
"[539031546, 16235314]",1034
"[539031555, 539031550, 539031558]",468
"[539031562, 539031558]",709
"[539031562, 539031566]",997
"[539031570, 539031566]",550
"[539031570, 539031573]",536
"[539031577, 539031581, 539031573]",374
"[539031585, 539031581]",45
"[539031585, 539031589]",51
"[539031593, 539031589]",185
"[539031593, 539031597, 539031601]",233
"[539031601, 539031605]",243
"[539031610, 539031605]",13
"[539031610, 539031615]",5
"[539031619, 288670079]",1
"[539031625, 523719523]",1172
"[539031643, 539031631]",8
"[539031649, 539031637]",1650
"[539031649, 539031662]",831
"[539031656, 539031643]",8
"[539031656, 539031668]",150
"[539031674, 539031662]",2636
"[539031690, 16213878]",1050
"[539031691, 539031692, 16213878]",467
"[539031692, 539031693, 539031694]",439
"[539031696, 539031694, 539031695]",422
"[539031697, 539031698, 16236694]",282
"[539031699, 16236694]",50
"[539031699, 539031700, 539031701]",23
"[539031701, 539031702]",17
"[539031702, 665834941, 665834942, 539031703]",35
"[539031704, 665362014]",31
"[539031704, 665362015]",18
"[539031705, 523707285]",38
"[539031705, 539031706]",37
"[539031706, 539031707, 539031708]",15
"[539031708, 539031709]",1
"[539031712, 539031713, 539031714]",40
"[539031714, 539031715, 539031716]",83
"[539031716, 539031717]",48
"[539031717, 539031718]",1
"[539031718, 539031719]",3
"[539031720, 539031721, 539031719]",85
"[539031721, 539031722]",4
"[539031722, 539031723]",1
"[539031723, 539031724]",9
"[539031728, 539031729, 539031727]",29
"[539031729, 539031730]",15
"[539031730, 539031731, 539031732]",676
"[539031732, 539031733]",1000
"[539031734, 665834937, 665834938, 665834939, 665834940, 109642777]",852
"[539031736, 539031735]",7
"[539031737, 539031738, 539031739]",606
"[539031739, 539031740]",573
"[539031741, 539031742, 539031743]",555
"[539031744, 539031743]",474
"[539031744, 539031745]",340
"[539031745, 539031746, 539031747]",308
"[539031747, 539031748, 539031749, 539031752, 539031753]",541
"[539031753, 539031757, 629395023]",463
"[539031760, 539031762]",18
"[539031764, 539031765]",401
"[539031769, 277441998]",246
"[539031770, 538994602]",212
"[539031770, 539031767]",434
"[539031773, 539031774, 539031775]",597
"[539155360, 102759394, 747521292]",508
"[539191722, 539193892, 539193894]",122
"[539193890, 539193893, 109642295, 539193895]",41
"[539193896, 539193897, 539193894]",69
"[539193897, 539196922]",42
"[539196921, 523699034]",53
"[539196921, 539196956, 539443693]",131
"[539199592, 523699028]",56
"[539199593, 539440361]",8
"[539204234, 539204246]",18
"[539204246, 539204231]",73
"[539204529, 539204234]",30
"[539204529, 539204531]",70
"[539217038, 16238350]",10
"[539217038, 539217047]",11
"[539217042, 539217052]",23
"[539217042, 539217053]",29
"[539217048, 539217051]",13
"[539217048, 539438396]",16
"[539217049, 539439949, 539217053]",50
"[539217051, 539217052]",13
"[539229178, 539436972, 539229182]",43
"[539229179, 539229181]",65
"[539229184, 539436971, 539229180]",23
"[539229185, 539229179, 539229182]",78
"[539362312, 97994961, 539362313]",2101
"[539380373, 539435462, 539381039]",13
"[539380375, 539229183]",55
"[539380376, 539380377, 539435457]",117
"[539380376, 539435459, 539380375]",127
"[539381040, 539381041, 539434627]",69
"[539381040, 539434628, 539381039]",24
"[539411330, 539411323]",255
"[539411356, 793356718]",44
"[539411361, 524922940, 797802062, 793356719]",45
"[539411361, 797802061, 539411350]",69
"[539411849, 539411323, 804160767]",444
"[539411850, 539411855]",662
"[539411852, 539433102, 539433103, 804160759, 804160760, 804160761, 804160762, 804160764]",1373
"[539411854, 711292463, 711292464, 804160755, 618107999]",1286
"[539412067, 111336915]",79
"[539412067, 539412068]",61
"[539432602, 539400755]",254
"[539432602, 539432604]",2224
"[539432672, 705379105, 638281808, 120581041, 735409018]",3358
"[539432673, 764084405]",3172
"[539433105, 711292462]",457
"[539433533, 804160774, 793356717]",84
"[539434626, 524924221, 539434629]",61
"[539434626, 539381043]",9
"[539435456, 539380377, 539380374]",14
"[539435458, 539380373, 539380374]",5
"[539436073, 539229181]",20
"[539436970, 539229178]",21
"[539436970, 539229180]",14
"[539439950, 257177570, 523699038, 257177574]",223
"[539440361, 539199594]",119
"[539440368, 539204242, 539199594]",132
"[539440594, 16224350]",95
"[539440594, 539442972, 539199591]",137
"[539443696, 539196956, 539196957]",169
"[539443700, 539196957, 539196958]",187
"[540363819, 540363814]",10
"[540364292, 540364037, 540364334]",60
"[540366912, 540429051, 540428904]",15
"[540366913, 331767001]",13
"[540366913, 540366298, 540364711]",4
"[540367421, 540428717, 540428255]",53
"[540368938, 525825446, 540428255]",44
"[540370503, 540370495]",34
"[540372530, 525825445, 540373007]",1
"[540380322, 540380323]",10
"[540380322, 540403942]",1
"[540382274, 525868539]",4
"[540383706, 540383046]",16
"[540383760, 525826951]",9
"[540383760, 540386133]",9
"[540386941, 540386133]",3
"[540386941, 540387503]",4
"[540387832, 540387503]",5
"[540387832, 540388004]",6
"[540389833, 52305926]",1
"[540389834, 540395028]",25
"[540389834, 540396725]",26
"[540390091, 525907597, 540394814]",98
"[540390091, 525907598]",30
"[540391145, 525826941]",64
"[540391145, 571041079]",3
"[540394569, 525826963]",6975
"[540394569, 525868538]",22268
"[540395027, 540395028]",30
"[540396725, 523665255]",3
"[540397944, 540398149]",17
"[540398149, 540398150]",17
"[540398201, 540398150]",9
"[540398328, 540398201]",10
"[540398328, 540398573]",7
"[540398805, 540398573]",3
"[540398805, 540399382]",5
"[540403768, 16214387, 540380920]",43
"[540403768, 540380506, 540403942]",43
"[540404380, 540404442, 540375508]",31
"[540404504, 525825460, 540373006]",7
"[540404504, 540374609, 540404442]",30
"[540405635, 525825447]",1
"[540405970, 331767013]",1
"[540406024, 109642774]",1
"[540406024, 540426466, 540371555]",1
"[540426466, 540371076, 540427510]",15
"[540427510, 540370942, 540427615]",32
"[540427715, 540370503]",17
"[540427715, 540370709, 540427615]",40
"[540428754, 540367090, 540367091, 540428717]",66
"[540428904, 540367092, 331766998]",63
"[540429673, 540364629, 540364334]",175
"[540430885, 821990214, 540430303]",68
"[540431666, 109642390]",75
"[540432266, 331324534]",563
"[540432570, 331766996]",6
"[540432570, 540432571]",14
"[540432571, 331766991]",12
"[540432762, 540432764]",9
"[540432762, 540432765]",304
"[540432763, 540432996]",71
"[540432764, 540432573]",9
"[540433001, 540432996]",29
"[540433305, 525825467]",3
"[540433305, 540432994]",1
"[540646260, 523998230]",31
"[540646260, 540646246]",22
"[540646267, 540646246, 540646263]",29
"[540651547, 540646251, 540653195]",44
"[540651720, 540653195, 523999357]",157
"[540652089, 523999359]",282
"[540656320, 540655771]",1510
"[540725817, 540725573]",297
"[540726578, 823539414]",184
"[540958601, 823539437, 524000721, 524000728, 541015644]",267
"[540997508, 823539428]",1868
"[541001061, 823539429, 823539430, 540997871]",1398
"[541001240, 541001061]",291
"[541001864, 823539433, 541003526]",184
"[541003526, 823539434, 823539435, 823539436, 541004179, 541004502, 541004727, 541011934]",182
"[541014163, 541011934]",254
"[541014163, 541015644, 541015645]",245
"[541016160, 541016492]",24
"[541018393, 541018773]",38
"[541019074, 541018773]",42
"[541019074, 823539445, 823539446]",107
"[541019145, 541019629, 541019558, 823539447]",147
"[541019629, 49423020, 49423005, 541020143]",189
"[541020896, 738230323]",2164
"[541021760, 823539451, 823539453]",445
"[541339449, 541339404]",385
"[541340984, 541340804]",20
"[541340984, 541341084]",162
"[541341547, 541341084]",594
"[541342037, 541341547, 823539468, 823539469]",1107
"[541342272, 541342469, 823539471]",676
"[541342272, 823539470]",1126
"[541342625, 541342531, 541342772]",23
"[541343106, 274665247]",1973
"[542280856, 823539477, 542280574, 823539478]",2018
"[542281197, 542280857, 542281445, 823539479]",2230
"[542282114, 542282139]",108
"[542282139, 823539484, 823539485]",3
"[542282225, 542282419, 823539486]",3
"[542282419, 823539487]",17
"[542283408, 542283409]",86
"[542283408, 823539492, 542283192]",249
"[542283409, 823539493, 542284046]",79
"[542284784, 823539497]",318
"[542284785, 823539494]",55
"[542284962, 542285106]",84
"[542285106, 542285188]",12
"[542285188, 542285261]",9
"[542285350, 822076839]",29
"[544710920, 109642529]",151
"[544713170, 544713474, 547222602]",226
"[544713491, 544713474, 547222603]",169
"[544799289, 544713491, 547222604]",159
"[544799289, 544800106]",157
"[544800106, 544801781]",10
"[544801794, 547222605, 544801781]",491
"[544801794, 547222606]",455
"[544802641, 544802642, 547222607]",317
"[544802642, 547222606]",293
"[544804250, 544803058]",1019
"[544804443, 69545595, 69545604, 547214092]",14447
"[544807168, 469871106, 524653491]",3153
"[544808707, 274850798, 274850800, 547214098, 544807989]",4308
"[544810552, 547211843, 544810551]",3713
"[544811416, 544811288]",850
"[544811416, 544811659]",846
"[544812065, 544812722, 544812524]",168
"[544812065, 547211858, 544811659]",607
"[544813216, 544812722]",131
"[544813216, 544813217, 547211859, 524920887]",545
"[544891720, 544891721]",6
"[546042968, 632382027, 707561028]",737
"[546042968, 707561029]",739
"[546043873, 462996047]",565
"[546044267, 546044652, 546044462, 547208175]",540
"[546044826, 104366391]",334
"[546045888, 546045546]",6
"[546045888, 546046078]",26
"[546046892, 547208179, 547208180]",725
"[546047307, 524918365, 546047511]",695
"[546047307, 546047141]",194
"[547034689, 547034733, 737536753, 524918361, 524918362]",1203
"[547035064, 547034733]",1935
"[547035064, 547035387, 547208181]",2227
"[547035387, 547208182, 547205806]",2245
"[547035407, 547205806, 547205807]",2345
"[547035777, 705099427, 524916598]",647
"[547035993, 547205812]",782
"[547035994, 547036452, 547205814]",243
"[547035994, 547205813]",489
"[547036587, 547036543]",319
"[547036729, 547036587, 547036703]",351
"[547036729, 547205815]",459
"[547036758, 598031133, 524915566]",360
"[547041654, 338231911]",5
"[547104072, 338231758]",11
"[547104073, 338231761]",56
"[547104507, 16215724, 524887876]",504
"[547205808, 524916598]",880
"[547205808, 547035593, 547205807]",2145
"[547205809, 547035777, 705099420]",648
"[547205810, 547205811, 547035820, 547035854]",936
"[547205812, 547205813]",600
"[547205814, 547036543]",284
"[547205816, 547205817, 524915566]",54
"[547205817, 547205818]",75
"[547205818, 547205819]",42
"[547205819, 524929573]",45
"[547208176, 546044652, 52121428]",711
"[547208177, 104366393]",18
"[547208178, 546046078]",100
"[547208178, 546046292]",709
"[547208179, 546046292]",1030
"[547208180, 546047141]",96
"[547211856, 544811131]",1423
"[547211856, 547211857, 544811288]",864
"[547211860, 546043325]",694
"[547211860, 546043478]",777
"[547214093, 825133424, 825133425, 544503344, 544804762]",3345
"[547214096, 544807322, 544807466]",4368
"[547214097, 544807466, 544807757, 544807989]",4328
"[547214098, 547211843, 544808716]",4104
"[547222600, 524922938]",97
"[547222601, 544713170, 524922941]",191
"[547222608, 544802641]",351
"[547222608, 544802849, 544803058]",398
"[547619728, 547618644, 547688902]",44
"[547619728, 547621002, 547688834]",22
"[547626081, 547625246]",102
"[547626081, 547627396]",6
"[547627396, 547627463]",24
"[547628840, 524633218]",317
"[547630896, 524634594, 524634591]",225
"[547631651, 547687404]",13
"[547631651, 547687717, 524634582]",20
"[547633426, 547687404, 547632458, 547686510]",443
"[547633922, 547686331]",495
"[547634541, 547686331, 16243021]",514
"[547656897, 544505261, 544505262]",11678
"[547660944, 522494345, 547661542]",892
"[547660944, 522511919]",1109
"[547675644, 547674357]",4581
"[547688696, 547621002, 547623372]",30
"[547917162, 294883554, 547917021, 553567247]",770
"[547917436, 553567012, 547917615]",451
"[547918232, 547918354, 553566134]",335
"[547918232, 553566302]",426
"[547918656, 547918381, 553566134]",306
"[547918656, 547918687]",388
"[547918749, 547918687]",704
"[547918749, 547918790]",928
"[547919025, 547918790]",1031
"[547919025, 547919092]",1110
"[547919092, 547919502]",1147
"[550504078, 16237182]",4
"[553566425, 547917643, 553566765]",327
"[553566425, 547917973, 553566302]",304
"[553566765, 547917615]",371
"[553567392, 553567505, 523619277]",408
"[553741992, 16216261, 553741823]",7
"[553742465, 16232329]",8
"[553745062, 553745063]",60
"[553749346, 553748172]",234
"[553749373, 522504158]",3
"[554248097, 554247789, 756923351, 756923350, 736165015]",1839
"[554249834, 764068492, 554250791]",1892
"[554251606, 554250791]",2546
"[554252297, 554256274, 554252870]",1322
"[557378828, 557245735]",283
"[557379660, 557378828]",255
"[557379660, 557380703, 557381903]",123
"[557383066, 557381903]",7939
"[557383768, 557383066, 827550643, 827550645]",344
"[557383768, 827550644]",305
"[559266304, 462022755, 526067252, 123422429]",8047
"[560745754, 524070215]",10
"[560749379, 560749404]",1334
"[560749404, 560749901]",1253
"[561516730, 561517295]",41
"[561517294, 561517295]",36
"[561517403, 561517294]",25
"[561517497, 561517498, 561517403, 561517402]",167
"[561517498, 561517578]",263
"[561517680, 561517578]",867
"[561517680, 561517679]",1174
"[561518057, 561518058, 560749901]",1245
"[561518058, 561517870, 561517679]",1220
"[562091888, 49423113, 49423114]",1718
"[562091897, 804973883, 804973878]",1930
"[564622521, 564629507, 524090213, 339266215]",284
"[564626665, 564627266, 564625582]",591
"[564627266, 564627788, 761185093]",427
"[564627788, 564628293]",149
"[564628544, 564628293]",117
"[564628544, 564628646]",138
"[564628646, 564629022]",181
"[564629022, 564629055]",206
"[565000842, 339265699, 524072556]",259
"[565001680, 565000842]",166
"[565001680, 565003336]",192
"[565001681, 565000980, 565003165]",74
"[565003336, 565011866]",299
"[565003337, 565003165]",6
"[565003337, 565011865]",12
"[565016769, 565011865]",25
"[565016769, 565017133]",73
"[565016770, 565011866]",290
"[565017133, 565018726]",58
"[565017137, 565016770]",512
"[565017137, 565018111]",680
"[565018875, 565019365, 565018726]",283
"[565018876, 565018111]",953
"[565019368, 565018876, 565019584]",1196
